,benchmark,cpu_lim,mem_lim,data_size,exec_time,mem_usage,mem_util
0,matmult,48,2048,4000,0.3549320697784424,411.421875,20.088958740234375
1,matmult,48,2048,4000,0.46597838401794434,411.90234375,20.11241912841797
2,matmult,48,2048,4000,0.40709877014160156,412.09765625,20.12195587158203
3,matmult,48,2048,4000,0.34650349617004395,412.09765625,20.12195587158203
4,matmult,48,2048,4000,0.3610224723815918,412.09765625,20.12195587158203
5,matmult,48,2048,4000,0.43665289878845215,412.66015625,20.14942169189453
6,matmult,48,2048,4000,0.4253058433532715,412.66015625,20.14942169189453
7,matmult,48,2048,4000,0.4476950168609619,412.66015625,20.14942169189453
8,matmult,48,2048,4000,0.6258594989776611,412.66015625,20.14942169189453
9,matmult,48,2048,4000,0.8196146488189697,412.66015625,20.14942169189453
10,matmult,64,2048,8000,1.5370769500732422,1524.25390625,74.42646026611328
11,matmult,64,2048,8000,1.753981351852417,1525.84765625,74.50428009033203
12,matmult,64,2048,8000,1.778364896774292,1525.84765625,74.50428009033203
13,matmult,64,2048,8000,1.8768384456634521,1526.484375,74.53536987304688
14,matmult,64,2048,8000,2.3699750900268555,1526.484375,74.53536987304688
15,matmult,64,2048,8000,3.015497922897339,1526.484375,74.53536987304688
16,matmult,64,2048,8000,2.9464640617370605,1526.484375,74.53536987304688
17,matmult,64,2048,8000,4.4342122077941895,1526.484375,74.53536987304688
18,matmult,64,2048,8000,2.91743803024292,1526.484375,74.53536987304688
19,matmult,64,2048,8000,2.643571138381958,1527.00390625,74.56073760986328
20,matmult,48,2048,1000,0.05082821846008301,57.1640625,2.7912139892578125
21,matmult,48,2048,1000,0.027190685272216797,57.1640625,2.7912139892578125
22,matmult,48,2048,1000,0.014628171920776367,57.1640625,2.7912139892578125
23,matmult,48,2048,1000,0.024121999740600586,57.1640625,2.7912139892578125
24,matmult,48,2048,1000,0.015164852142333984,57.1640625,2.7912139892578125
25,matmult,48,2048,1000,0.011933326721191406,57.1640625,2.7912139892578125
26,matmult,48,2048,1000,0.013181447982788086,57.1640625,2.7912139892578125
27,matmult,48,2048,1000,0.0302579402923584,57.1640625,2.7912139892578125
28,matmult,48,2048,1000,0.01407766342163086,57.1640625,2.7912139892578125
29,matmult,48,2048,1000,0.02338886260986328,57.1640625,2.7912139892578125
30,matmult,32,2048,6000,1.257918119430542,876.06640625,42.77667999267578
31,matmult,32,2048,6000,1.1438446044921875,877.03515625,42.82398223876953
32,matmult,32,2048,6000,1.4173579216003418,877.03515625,42.82398223876953
33,matmult,32,2048,6000,1.899306297302246,877.37109375,42.84038543701172
34,matmult,32,2048,6000,2.2423295974731445,877.37109375,42.84038543701172
35,matmult,32,2048,6000,2.3589117527008057,878.08984375,42.87548065185547
36,matmult,32,2048,6000,1.6530282497406006,878.08984375,42.87548065185547
37,matmult,32,2048,6000,1.3886466026306152,878.08984375,42.87548065185547
38,matmult,32,2048,6000,1.2430367469787598,878.74609375,42.90752410888672
39,matmult,32,2048,6000,1.4447524547576904,878.74609375,42.90752410888672
40,matmult,64,2048,7000,1.3054423332214355,1177.53125,57.49664306640625
41,matmult,64,2048,7000,1.2641711235046387,1177.53125,57.49664306640625
42,matmult,64,2048,7000,1.567927360534668,1177.53125,57.49664306640625
43,matmult,64,2048,7000,1.5816736221313477,1178.4375,57.5408935546875
44,matmult,64,2048,7000,1.6526670455932617,1178.4375,57.5408935546875
45,matmult,64,2048,7000,1.7339179515838623,1178.671875,57.552337646484375
46,matmult,64,2048,7000,1.4832568168640137,1178.671875,57.552337646484375
47,matmult,64,2048,7000,1.5699384212493896,1179.0234375,57.56950378417969
